term,coef,std_err,z,p_value,ci_low,ci_high,exp_coef
C(property_state)[T.NM],-0.4799306894729108,0.45632331690471856,-1.051733873097529,0.29292166544509224,-1.3743079559120168,0.4144465769661952,0.6188262814955173
C(property_state)[T.NV],-0.05048241607908199,0.4367683405762723,-0.11558167428636305,0.9079840873539626,-0.9065326331958999,0.805567801037736,0.9507706468012058
C(property_state)[T.NY],0.29849265390863167,0.43049498639255734,0.6933708018528324,0.488076880962815,-0.5452620149458414,1.1422473227631047,1.3478256359101488
C(property_state)[T.OH],-0.6729430160347615,0.4305487827697274,-1.5629890106893531,0.11805517964218684,-1.5168031238509867,0.17091709178146364,0.5102048251064929
C(property_state)[T.OK],-0.5023640645195853,0.45219223570824607,-1.1109524331676275,0.266588824419702,-1.3886445605963944,0.383916431557224,0.6050984756547405
C(property_state)[T.OR],-0.4209531256093897,0.43707358251125467,-0.9631172929527264,0.3354886644101792,-1.2776016059253443,0.43569535470656506,0.6564208700163017
C(property_state)[T.PA],-0.15605018311523589,0.430976715287355,-0.3620849516456799,0.7172885486259445,-1.0007490232538245,0.6886486570233528,0.8555162568228556
C(property_state)[T.PR],1.162139352169064,0.4847631072634242,2.3973345635346544,0.01651483676546078,0.21202112089902547,2.1122575834391024,3.19676497188557
C(property_state)[T.RI],-0.31245963014156336,0.46588828487797324,-0.6706750100475346,0.5024275859700169,-1.2255838893215276,0.6006646290384008,0.7316451647621868
C(property_state)[T.SC],-0.32464872706091474,0.4381495670209514,-0.7409541204576626,0.4587212589047359,-1.1834060982637982,0.5341086441419687,0.722781202531668
C(property_state)[T.SD],-0.5927134375597379,0.5943373874458736,-0.9972676295982077,0.31863462166887047,-1.7575933116192783,0.5721664364998024,0.5528251910999913
C(property_state)[T.TN],-0.27299734713643886,0.4369633219546716,-0.624760325226469,0.5321283736899198,-1.1294297207325754,0.5834350264596977,0.7610948067069354
C(property_state)[T.TX],0.043926093808634104,0.42984591828631785,0.10219032434635145,0.9186056076028563,-0.798556424934096,0.8864086125513642,1.0449051270763914
C(property_state)[T.UT],0.14514569688415518,0.443525540100323,0.32725442789906534,0.7434754576038367,-0.7241483879361534,1.014439781704464,1.1562080139019282
C(property_state)[T.VA],-0.3954569126509271,0.4325828694174159,-0.9141760818765466,0.36062432991640947,-1.2433037570380554,0.45238993173620135,0.6733722966273602
C(property_state)[T.VI],-0.6768451330148962,1.6238550467017565,-0.41681376326640085,0.6768146345766002,-3.8595425406639463,2.505852274634154,0.5082178254688673
C(property_state)[T.VT],0.00013930308901172195,0.5421383496990416,0.00025695118061478875,0.9997949826223634,-1.0624323369590911,1.0627109431371147,1.0001393127921376
C(property_state)[T.WA],-0.3035025228356712,0.43203267220930447,-0.7024990061136742,0.48236802132076095,-1.1502710005105066,0.5432659548391643,0.7382280267014503
C(property_state)[T.WI],-0.7412910425208764,0.4349296956725386,-1.7043928016333916,0.08830772783621944,-1.5937375818460182,0.1111554968042654,0.47649833862227364
C(property_state)[T.WV],-0.6744215213732149,0.4813194856535824,-1.40119305674363,0.16115635002860706,-1.6177903783115797,0.2689473355651498,0.509451041922412
C(property_state)[T.WY],-0.69099281288966,0.5905530913996686,-1.1700773782284999,0.24196983115660142,-1.8484556029918013,0.4664699772124813,0.501078344993862
ltv10,-0.2475000097376001,0.007451659738595842,-33.21407826174279,6.742464452552914e-242,-0.2621049944502951,-0.2328950250249051,0.7807502132082923
fico_s,-0.364342362008321,0.024258260658751928,-15.019311035264726,5.487510501947179e-51,-0.41188767922705966,-0.3167970447895823,0.6946533311179715
loan_age_at_default,0.006585968474018754,0.0005172430297711879,12.732831754025144,3.8848923510733766e-37,0.005572190764412847,0.007599746183624662,1.0066077036539263
